Category,Version,Workers,Time_s,Speedup,Efficiency_pct,RMSE,FuelKg,AltKm,VelMs,Fitness,Orbit
Serial,Serial,1,0.542,1.000,100.0,0.0000,522000.00,400.081,7666.83,1961.1882,1
OpenMP,OpenMP_2T,2,0.285,1.903,95.1,0.0000,522000.00,400.081,7666.83,1961.1882,1
OpenMP,OpenMP_4T,4,0.177,3.067,76.7,0.0000,522000.00,400.081,7666.83,1961.1882,1
OpenMP,OpenMP_8T,8,0.106,5.126,64.1,0.0000,522000.00,400.081,7666.83,1961.1882,1
MPI,MPI_1P,1,0.563,0.963,96.3,0.0000,522000.00,400.081,7666.83,1961.1882,1
MPI,MPI_2P,2,0.291,1.865,93.3,0.0000,522000.00,400.081,7666.83,1961.1882,1
MPI,MPI_4P,4,0.187,2.903,72.6,0.0000,522000.00,400.081,7666.83,1961.1882,1
Hybrid,Hybrid_1Px12T,12,0.112,4.847,40.4,0.0000,522000.00,400.081,7666.83,1961.1882,1
Hybrid,Hybrid_2Px6T,12,0.104,5.197,43.3,0.0000,522000.00,400.081,7666.83,1961.1882,1
Hybrid,Hybrid_4Px12T,48,0.179,3.030,6.3,0.0000,522000.00,400.081,7666.83,1961.1882,1
CUDA,CUDA_GPU,GPU,0.699,0.776,,0.0000,522000.00,400.081,7666.83,1961.1882,1
